Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	C	100			1	33.33	66.67
	214977901	JMSOLUTION - Mask Pack Black	JMSOLUTION - Mask Pack Black	C	90	22		3	100	
	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	C	96	1				100
	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	B	100					100
	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	A	96					100
	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	B	97			2	66.67	33.33
	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	A	82					100
	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	B	96			2	66.67	33.33
	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	98	52		3	100	
	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	C	90	138		3	100	
	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	C	98					100
	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	C	100	12		2	100	
	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	Petitfee Chamomile Lightening Hydrogel Eye Mask	B	95	36		2	100	
	180988755	Petitfee B-Glucan Deep Firming Eye Mask	Petitfee B-Glucan Deep Firming Eye Mask	C	97	5		2	100	
	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	C	95			1	50	50
	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	I'm Sorry for My Skin Крем Age Capture Vitalizer	B	93					100
	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	B	98	21		2	100	
	207796350	ELIZAVECCA - CER-100  [100ml]	ELIZAVECCA - CER-100  [100ml]	C	93					100
	208208674	Рация_UV-82 (1 шт)	Рация_UV-82 (1 шт)	C	77			2	100	
	212753217	JIGOTT - Collagen Healing Cream [100ml]	JIGOTT - Collagen Healing Cream [100ml]	C	97	2		1	50	50
	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	B	95			2	100	
	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	C	100					100
	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	C	92	1		2	100	
	100680843	sBotW120_100680843	sBotW120_100680843	B	100					100
	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	Etude Baking Powder Crunch Pore Scrub треугольники 30	B	90			1	100	
	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	B	98					100
	180852837	Триммер черный v1	Триммер черный v1	C	100					100
	180987509	Petitfee Pink Vita Brightening Eye Mask	Petitfee Pink Vita Brightening Eye Mask	C	100					100
	183030830	HairSet/350/8*2	HairSet/350/8*2	C	100					100
	207479264	EKEL Ampoule Cream Collagen [50ml]	EKEL Ampoule Cream Collagen [50ml]	B	98			1	100	
	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	C	100					100
	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	C	100					100
	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	C	100					100
	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	SKIN1004 - Madagascar Centella Ampoule [30ml]	C	86	1		1	100	
	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	THE ORDINARY - Argireline Solution 10% [30ml]	C	80					100
	248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	C	86					100
	315688951	Триммер Золото	Триммер Золото	C	100					100
	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	C	100	1		1	100	
	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	C	100	23		1	100	
	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	C	97	57		1	100	
	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	C	79					100
	551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	C	80	13		1	100	
	663654300	videokamera4gneww	videokamera4gneww	C	100					100
	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	Petitfee Artichoke Soothing Hydrogel Eye Mask	C	97	17				
	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	Petitfee Cacao Energizing Hydrogel Eye Patch	C	91	23				
	180711041	Petitfee EGF	Petitfee EGF	C	100	5				
	180711104	Petitfee GOLD	Petitfee GOLD	C	97	18				
	180852804	Скалер белый v1	Скалер белый v1	C	67	5				
	190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	Elizavecca Milky Piggy EGF elastic retinol [100ml]	C	75	5				
	206058262	ELIZAVECCA_galactomyces_Ample	ELIZAVECCA_galactomyces_Ample	C	100	5				
	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	DEOPROCE - SNAIL RECOVERY CREAM [100g]	C	100	6				
	214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	C	90	9				
	236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	C	100	28				
	247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	C	100	5				
	255574453	JIGOTT - MASK 15	JIGOTT - MASK 15	C	100	39				
	340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	C	100	5				
	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	C	75	34				
	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	C	100	13				
	Беларусь									100
	868516027	Celimax Dual Barrier Creamy Toner	Celimax Dual Barrier Creamy Toner	A	90					100
	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	91					100
	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	96					100
	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	96					100
	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	A	92					100
	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	94					100
	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	A	95					100
	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	A	91					100
	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	Petitfee Agave Cooling Hydrogel Eye Mask	B	98					100
	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	A	97					100
	150925321	Collagen_Enough_Moisture_Foundation_13	Collagen_Enough_Moisture_Foundation_13	A	95					100
	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	Petitfee Black Pearl & Gold hydrogel Eye Patch	A	97					100
	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	A	97					100
	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	97					100
	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	ROUND LAB MUGWORT CALMING CLEANSER_150ml	A	89					100
	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	Enough Rich Gold Double Wea Radiance Foundation 13 тон	A	91					100
	207482718	JIGOTT - Snail Lifting Cream [70ml]	JIGOTT - Snail Lifting Cream [70ml]	A	96					100
	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	A	96					100
	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	Enough Rich Gold Double Wea Radiance Foundation 21 тон	B	96					100
	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	A	91					100
	207483179	JIGOTT - Snail Reparing Cream [100ml]	JIGOTT - Snail Reparing Cream [100ml]	A	96					100
	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	B	94					100
	198147185	Manyo_Complex_Ampoule	Manyo_Complex_Ampoule	A	97					100
	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	HEIMISH - All Clean Balm Mandarin [120ml]	B	97					100
	212757456	JIGOTT - Daily Real Cica Toner [300ml]	JIGOTT - Daily Real Cica Toner [300ml]	A	93					100
	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	B	97					100
	207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	98					100
	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	B	98					100
	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	C	90					100
	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	B	91					100
	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	Enough Collagen Foundation Cover Up Ultra X10 21 тон	B	93					100
	198143251	Manyo_Ampoule_Lotion	Manyo_Ampoule_Lotion	B	90					100
	198156472	Manyo_Galac_Vita_Serum	Manyo_Galac_Vita_Serum	A	90					100
	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	97					100
	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	ELIZAVECCA - Natural 90% Olive Cleansing Oil	B	95					100
	208202076	EKEL Ampule Сream Сollagen [70ml]	EKEL Ampule Сream Сollagen [70ml]	B	98					100
	214964091	JMSOLUTION - Mask Pack Disney	JMSOLUTION - Mask Pack Disney	A	91					100
	419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	A	93					100
	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	LANEIGE LIP SLEEPING MASK-BERRY [3g]	A	88					100
	151132052	ENOUGH COLLAGEN 3IN1 21	ENOUGH COLLAGEN 3IN1 21	C	97					100
	207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	FARMSTAY - Collagen Water Full Moist Cream [100g]	A	98					100
	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	JIGOTT - Birds Nest Firming Cream [70ml]	B	99					100
	151313163	Etude Baking Powder Crunch Pore Scrub	Etude Baking Powder Crunch Pore Scrub	A	95					100
	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	A	93					100
	180988755	Petitfee B-Glucan Deep Firming Eye Mask	Petitfee B-Glucan Deep Firming Eye Mask	C	97					100
	198156698	Manyo_Pure_Cleansing_Oil	Manyo_Pure_Cleansing_Oil	B	92					100
	212889025	Enoughcollagenwhiteningcovertip01	Enoughcollagenwhiteningcovertip01	B	90					100
	212889027	Enoughcollagenwhiteningcovertip	Enoughcollagenwhiteningcovertip	B	81					100
	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	B	94					100
	240311751	Робот мойщик окон sBot w250	Робот мойщик окон sBot w250	B	83					100
	248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	C	92					100
	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	B	90					100
	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	B	94					100
	150925322	Collagen_Enough_Moisture_Foundation_21	Collagen_Enough_Moisture_Foundation_21	B	93					100
	151132051	ENOUGH COLLAGEN 3IN1 13	ENOUGH COLLAGEN 3IN1 13	B	90					100
	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	C	100					100
	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	Petitfee Chamomile Lightening Hydrogel Eye Mask	B	95					100
	204258828	COSRX_Salicylic_Acid_Cleanser	COSRX_Salicylic_Acid_Cleanser	C	97					100
	206057411	ELIZAVECCA_fruit_toner	ELIZAVECCA_fruit_toner	B	98					100
	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	FARMSTAY - Gold Snail Premium Cream [50ml]	A	95					100
	208208674	Рация_UV-82 (1 шт)	Рация_UV-82 (1 шт)	C	77					100
	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	C	96					100
	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	B	95					100
	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	DEOPROCE - SNAIL RECOVERY CREAM [100g]	C	100					100
	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	B	94					100
	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	A	96					100
	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	98					100
	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	B	89					100
	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	C	95					100
	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	C	97					100
	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	B	94					100
	611747838	Collagen_Enough_Moisture_Foundation_23	Collagen_Enough_Moisture_Foundation_23	C	90					100
	174668134	Пистолет перкуссионный V1	Пистолет перкуссионный V1	C	80					100
	176944957	sBotW300	sBotW300	B	97					100
	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	B	98					100
	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	Petitfee Cacao Energizing Hydrogel Eye Patch	C	91					100
	180711104	Petitfee GOLD	Petitfee GOLD	C	97					100
	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	C	95					100
	183030830	HairSet/350/8*2	HairSet/350/8*2	C	100					100
	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	Elizavecca 24k gold snail Cleansing Foam 180ml	B	97					100
	206058262	ELIZAVECCA_galactomyces_Ample	ELIZAVECCA_galactomyces_Ample	C	100					100
	207479264	EKEL Ampoule Cream Collagen [50ml]	EKEL Ampoule Cream Collagen [50ml]	B	98					100
	207796350	ELIZAVECCA - CER-100  [100ml]	ELIZAVECCA - CER-100  [100ml]	C	93					100
	212753217	JIGOTT - Collagen Healing Cream [100ml]	JIGOTT - Collagen Healing Cream [100ml]	C	97					100
	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	JIGOTT - Ultimate Real Collagen Toner [300ml]	B	98					100
	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	B	91					100
	212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	C	97					100
	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	THE ORDINARY - Argireline Solution 10% [30ml]	C	80					100
	214977901	JMSOLUTION - Mask Pack Black	JMSOLUTION - Mask Pack Black	C	90					100
	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	C	96					100
	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	C	100					100
	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	B	96					100
	248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	C	86					100
	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	B	89					100
	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	C	100					100
	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	C	97					100
	611745490	ENOUGH Collagen whitening cover tip concealer #03	ENOUGH Collagen whitening cover tip concealer #03	C	100					100
	Казахстан					2		3	1.47	98.53
	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	91					100
	207482718	JIGOTT - Snail Lifting Cream [70ml]	JIGOTT - Snail Lifting Cream [70ml]	A	96					100
	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	96					100
	868516027	Celimax Dual Barrier Creamy Toner	Celimax Dual Barrier Creamy Toner	A	90					100
	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	LANEIGE LIP SLEEPING MASK-BERRY [3g]	A	88					100
	151313163	Etude Baking Powder Crunch Pore Scrub	Etude Baking Powder Crunch Pore Scrub	A	95					100
	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	96					100
	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	FARMSTAY - Gold Snail Premium Cream [50ml]	A	95					100
	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	A	95			2	33.33	66.67
	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	A	97					100
	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	ROUND LAB MUGWORT CALMING CLEANSER_150ml	A	89					100
	150925321	Collagen_Enough_Moisture_Foundation_13	Collagen_Enough_Moisture_Foundation_13	A	95					100
	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	Petitfee Agave Cooling Hydrogel Eye Mask	B	98					100
	419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	A	93					100
	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	Petitfee Black Pearl & Gold hydrogel Eye Patch	A	97					100
	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	97					100
	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	B	91					100
	198156472	Manyo_Galac_Vita_Serum	Manyo_Galac_Vita_Serum	A	90			1	33.33	66.67
	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	94					100
	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	97					100
	214964091	JMSOLUTION - Mask Pack Disney	JMSOLUTION - Mask Pack Disney	A	91					100
	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	98	1				100
	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	A	91					100
	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	Enough Rich Gold Double Wea Radiance Foundation 21 тон	B	96					100
	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	Enough Rich Gold Double Wea Radiance Foundation 13 тон	A	91					100
	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	A	91					100
	198143251	Manyo_Ampoule_Lotion	Manyo_Ampoule_Lotion	B	90					100
	212757456	JIGOTT - Daily Real Cica Toner [300ml]	JIGOTT - Daily Real Cica Toner [300ml]	A	93					100
	212889025	Enoughcollagenwhiteningcovertip01	Enoughcollagenwhiteningcovertip01	B	90					100
	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	B	97					100
	151132051	ENOUGH COLLAGEN 3IN1 13	ENOUGH COLLAGEN 3IN1 13	B	90					100
	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	Baking Powder BB Deep Cleansing Foam 3в1 30	B	94					100
	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	A	93					100
	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	Enough Collagen Foundation Cover Up Ultra X10 21 тон	B	93					100
	180988755	Petitfee B-Glucan Deep Firming Eye Mask	Petitfee B-Glucan Deep Firming Eye Mask	C	97					100
	190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	Elizavecca Milky Piggy EGF elastic retinol [100ml]	C	75					100
	198147185	Manyo_Complex_Ampoule	Manyo_Complex_Ampoule	A	97					100
	199427475	Dr.Jart_Teatreatment_Toner	Dr.Jart_Teatreatment_Toner	C	94					100
	206057411	ELIZAVECCA_fruit_toner	ELIZAVECCA_fruit_toner	B	98					100
	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	HEIMISH - Artless Glow Base SPF50+ [40ml]	B	91					100
	207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	98					100
	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	B	98					100
	207483179	JIGOTT - Snail Reparing Cream [100ml]	JIGOTT - Snail Reparing Cream [100ml]	A	96					100
	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	ELIZAVECCA - Natural 90% Olive Cleansing Oil	B	95					100
	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	A	96					100
	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	A	92					100
	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	A	97					100
	212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	C	97					100
	212889028	Enoughcollagenwhiteningcovertip03	Enoughcollagenwhiteningcovertip03	B	86					100
	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	B	96					100
	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	B	89					100
	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	C	95					100
